SKLYPO_ID,drenazo_plotu_proc
550100030021,100.0
550100030022,0.0
550100030023,100.0
550100030024,0.0
550100030025,16.17
550100030027,100.0
550100030028,97.86
550100030029,100.0
550100030030,0.0
550100030031,90.16
550100030033,100.0
550100030034,100.0
550100030035,93.0
550100030036,100.0
550100030037,0.0
550100030038,0.0
550100030039,99.05
550100030040,67.61
550100030041,95.52
550100030042,67.51
550100030043,100.0
550100030044,98.52
550100030045,91.01
550100030046,1.3
550100030047,100.0
550100030049,1.12
550100030050,65.03
550100030052,18.37
550100030053,90.53
550100030054,0.0
550100030055,0.0
550100030056,0.0
550100030057,1.78
550100030058,0.0
550100030059,0.0
550100030060,0.0
550100030061,0.0
550100030062,100.0
550100030063,100.0
550100030064,1.42
550100030065,0.0
550100030066,16.24
550100030067,0.0
550100030068,48.62
550100030069,0.0
550100030070,65.07
550100030071,0.0
550100030072,100.0
550100030073,0.0
550100030074,69.79
550100030075,0.0
550100030076,100.0
550100030077,0.0
550100030078,0.0
550100030079,0.0
550100030080,99.73
550100030081,0.0
550100030082,0.0
550100030083,0.0
550100030084,0.0
550100030085,100.0
550100030086,0.0
550100030087,47.01
550100030088,0.0
550100030089,60.66
550100030090,0.0
550100030091,25.85
550100030092,55.61
550100030093,99.65
550100030094,0.0
550100030095,0.0
550100030096,92.72
550100030097,98.2
550100030098,90.71
550100030099,98.17
550100030100,37.82
550100030101,0.0
550100030102,31.13
550100030103,0.0
550100030104,0.01
550100030105,100.0
550100030107,63.35
550100030109,50.72
550100030111,6.7
550100030112,89.87
550100030113,0.0
550100030114,0.0
550100030115,0.0
550100030116,0.85
550100030117,99.46
550100030118,0.0
550100030119,0.0
550100030120,77.79
550100030121,100.0
550100030122,13.2
550100030123,0.66
550100030124,72.16
550100030125,6.09
550100030127,98.03
550100030129,92.41
550100030130,95.76
550100030131,48.06
550100030132,93.08
550100030133,98.31
550100030134,0.23
550100030135,59.28
550100030136,99.51
550100030137,5.51
550100030138,100.0
550100030139,98.33
550100030140,0.0
550100030142,0.0
550100030143,99.03
550100030144,100.0
550100030145,100.0
550100030146,100.0
550100030147,1.89
550100030148,0.0
550100030149,0.0
